numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0430111M,LYCEE PROFESSIONNEL AGRICOLE,,AVENUE DE L'HERMITAGE,ESPALY ST MARCEL,043,43000,LYCEE PROFESSIONNEL AGRICOLE 
0440307V,LYCEE PROFESSIONNEL PRIVE,STE THERESE,80 RUE D ANJOU,ST NAZAIRE,044,44600,LYCEE PROFESSIONNEL PRIVE STE THERESE
0671610L,LYCEE GEN.ET TECHNOL.PRIVE,INSTITUTION NOTRE DAME,6  RUE DES BONNES GENS,STRASBOURG CEDEX,067,67082,LYCEE GEN.ET TECHNOL.PRIVE INSTITUTION NOTRE DAME
0671615S,LYCEE GENERAL PRIVE,ECOLE AQUIBA,4  RUE BALDUNG GRIEN,STRASBOURG,067,67000,LYCEE GENERAL PRIVE ECOLE AQUIBA
0440005S,LYCEE POLYVALENT,GUY MOQUET - ETIENNE LENOIR,1 rue DE L EUROPE,CHATEAUBRIANT CEDEX,044,44146,LYCEE POLYVALENT GUY MOQUET - ETIENNE LENOIR
0440355X,LYCEE AGRICOLE PRIVE,CHARLES PEGUY,3  RUE DE LA SEVRE GORGES,GORGES,044,44190,LYCEE AGRICOLE PRIVE CHARLES PEGUY
0440029T,LYCEE GENERAL ET TECHNOLOGIQUE,LIVET,16 rue DUFOUR,NANTES CEDEX 1,044,44042,LYCEE GENERAL ET TECHNOLOGIQUE LIVET
0440033X,LP LYCEE DES METIERS,FRANCOIS ARAGO,23 rue DU RECTEUR SCHMITT,NANTES CEDEX 3,044,44322,LP LYCEE DES METIERS FRANCOIS ARAGO
0660626X,LYCEE PRIVE,SAINT-DOMINIQUE,33 RUE DE L HOSPICE,PRADES,066,66500,LYCEE PRIVE SAINT-DOMINIQUE
0660640M,COURS DE PROMOTION SOCIALE,DU LYCEE CHARLES RENOUVIER,ROUTE DE CATTLAR,PRADES,066,66500,COURS DE PROMOTION SOCIALE DU LYCEE CHARLES RENOUVIER
0440056X,LYCEE PROFESSIONNEL,ALBERT CHASSAGNE,5  RUE ALEXIS MANEYROL,PAIMBOEUF,044,44560,LYCEE PROFESSIONNEL ALBERT CHASSAGNE
0440074S,LYCEE PROFESSIONNEL,BROSSAUD-BLANCHO,10  BOULEVARD PIERRE DE COUBERTI,ST NAZAIRE CEDEX,044,44616,LYCEE PROFESSIONNEL BROSSAUD-BLANCHO
0660768B,LYCEE GENERAL PRIVE,SAINT-LOUIS-DE-GONZAGUE,71 avenue DU DOCTEUR SCHWEITZER,PERPIGNAN CEDEX,066,66050,LYCEE GENERAL PRIVE SAINT-LOUIS-DE-GONZAGUE
0660856X,LPO LYCEE DES METIERS,ROSA LUXEMBURG,2 avenue JEAN MOULIN,CANET EN ROUSSILLON CEDEX,066,66141,LPO LYCEE DES METIERS ROSA LUXEMBURG
0670024M,LP LYCEE DES METIERS,ANDRE SIEGFRIED,12 RUE DES DOMINICAINS,HAGUENAU CEDEX,067,67504,LP LYCEE DES METIERS ANDRE SIEGFRIED
0670042G,SECTION ENSEIGNT PROFESSIONNEL,DU LYCEE LOUIS MARCHAL,2 route INDUSTRIELLE DE LA HARDT,MOLSHEIM CEDEX,067,67122,SECTION ENSEIGNT PROFESSIONNEL DU LYCEE LOUIS MARCHAL
