numero_uai,denomination_principale_uai,patronyme_uai,adresse_uai,localite_acheminement_uai,departement,code_postal_uai,full_name
0271134L,COURS DE PROMOTION SOCIALE,DU LYCEE TECHNIQUE NATIONALISE,32 RUE PIERRE BROSSOLETTE,EVREUX,027,27000,COURS DE PROMOTION SOCIALE DU LYCEE TECHNIQUE NATIONALISE
0290001U,LYCEE PROFESSIONNEL,JEAN MOULIN,27  RUE DE LA REPUBLIQUE,PLOUHINEC,029,29780,LYCEE PROFESSIONNEL JEAN MOULIN
0290007A,LYCEE GENERAL,LA PEROUSE-KERICHEN,RUE PRINCE DE JOINVILLE,BREST CEDEX 2,029,29225,LYCEE GENERAL LA PEROUSE-KERICHEN
0290008B,LYCEE GENERAL ET TECHNOLOGIQUE,AMIRAL RONARC'H,3  RUE MOZART,BREST CEDEX 3,029,29231,LYCEE GENERAL ET TECHNOLOGIQUE AMIRAL RONARC'H
0290009C,LYCEE GENERAL,DE L'IROISE,7 place DE STRASBOURG,BREST CEDEX 2,029,29223,LYCEE GENERAL DE L'IROISE
0260037Z,LYCEE PROFESSIONNEL,VICTOR HUGO,442 avenue VICTOR HUGO,VALENCE CEDEX,026,26021,LYCEE PROFESSIONNEL VICTOR HUGO
0221670W,LYCEE PROF HORTICOLE PRIVE,,,LANRODEC,022,22170,LYCEE PROF HORTICOLE PRIVE 
0221672Y,LYCEE PROF AGRICOLE PRIVE,,,QUESSOY,022,22120,LYCEE PROF AGRICOLE PRIVE 
0221673Z,LYCEE AGRICOLE PRIVE,ST ILAN,52  RUE DE ST ILAN,LANGUEUX,022,22360,LYCEE AGRICOLE PRIVE ST ILAN
0221676C,LYCEE ENST PROF AGRICOLE PRIVE,XAVIER GRALL,8 RUE LOUIS LAVERGNE,LOUDEAC CEDEX,022,22605,LYCEE ENST PROF AGRICOLE PRIVE XAVIER GRALL
0221677D,LYCEE PROF AGRICOLE PRIVE,LE RESTMEUR - PABU,,PABU,022,22200,LYCEE PROF AGRICOLE PRIVE LE RESTMEUR - PABU
0221678E,LYCEE PROF.AGRICOLE PRIVE,CTRE D ENSEIGNEMENT RURAL,,PLESIDY,022,22720,LYCEE PROF.AGRICOLE PRIVE CTRE D ENSEIGNEMENT RURAL
0251477V,LYCEE AGROTECHNOLOGIQUE PRIVE,FRANCOIS XAVIER,5  RUE DU CHAPITRE,BESANCON,025,25000,LYCEE AGROTECHNOLOGIQUE PRIVE FRANCOIS XAVIER
0251479X,LYCEE AGRICOLE PRIVE,LES FONTENELLES,15 rue DU COUVENT,LES FONTENELLES,025,25210,LYCEE AGRICOLE PRIVE LES FONTENELLES
0290034E,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN-MARIE LE BRIS,2 PLACE DU LYCEE,DOUARNENEZ CEDEX,029,29172,LYCEE GENERAL ET TECHNOLOGIQUE JEAN-MARIE LE BRIS
0251520S,CTR DE FORMATION D APPRENTIS,LYCEE AGRICOLE BESANCON,,DANNEMARIE SUR CRETE,025,25410,CTR DE FORMATION D APPRENTIS LYCEE AGRICOLE BESANCON
0271049U,LYCEE GEN.ET TECHNOL.PRIVE,SAINT OUEN,ROUTE D'HONFLEUR,ST GERMAIN VILLAGE,027,27500,LYCEE GEN.ET TECHNOL.PRIVE SAINT OUEN
0271053Y,LYCEE GEN.ET TECHNOL.PRIVE,SAINT ADJUTOR,54 RUE DE MARZELLES,VERNON,027,27200,LYCEE GEN.ET TECHNOL.PRIVE SAINT ADJUTOR
0251020Y,LYCEE PRIVE,SAINT-JEAN,4 SQUARE CASTAN,BESANCON,025,25000,LYCEE PRIVE SAINT-JEAN
0251021Z,LYCEE GEN.ET TECHNOL.PRIVE,SAINT PAUL,8  BOULEVARD DIDEROT,BESANCON,025,25000,LYCEE GEN.ET TECHNOL.PRIVE SAINT PAUL
0230003D,LYCEE PROFESSIONNEL,JEAN JAURES,38  RUE JEAN JAURES,AUBUSSON,023,23200,LYCEE PROFESSIONNEL JEAN JAURES
0251671F,LPO LYCEE DES METIERS,EDGAR FAURE,2 rue DU DR SAUZE,MORTEAU CEDEX,025,25503,LPO LYCEE DES METIERS EDGAR FAURE
0261401G,GROUPEMENT EQUIPE MOBILE OUVRI,LYCEE CAMILLE VERNET,160 RUE FAVENTINES,VALENCE CEDEX,026,26021,GROUPEMENT EQUIPE MOBILE OUVRI LYCEE CAMILLE VERNET
0271324T,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROF.,7 RUE DE LA GARE,LOUVIERS,027,27400,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROF.
0280946B,LYCEE PROF AGRICOLE PRIVE,EFAGRIR,2 RUE DES FLEURS,MIGNIERES,028,28630,LYCEE PROF AGRICOLE PRIVE EFAGRIR
0251035P,LYCEE PROFESSIONNEL PRIVE,SAINTE FAMILLE,33 rue DU GENERAL BRULARD,BESANCON,025,25000,LYCEE PROFESSIONNEL PRIVE SAINTE FAMILLE
0280036M,LPO LYCEE DES METIERS,REMI BELLEAU,33 rue BRETONNERIE,NOGENT LE ROTROU,028,28400,LPO LYCEE DES METIERS REMI BELLEAU
0280044W,LPO LYCEE DES METIERS,JEHAN DE BEAUCE,20  RUE DU COMMANDANT CHESNE,CHARTRES,028,28000,LPO LYCEE DES METIERS JEHAN DE BEAUCE
0281059Z,GPT ETS POUR LA FORM.CONTINUE,GRETA LYCEE EMILE ZOLA,26 RUE DE CIVRY,CHATEAUDUN,028,28200,GPT ETS POUR LA FORM.CONTINUE GRETA LYCEE EMILE ZOLA
0261461X,ANTENNE DU CFA IFRIA RHÔNE-ALP,LYCÉE AGRICOLE LE VALENTIN,AVENUE DE LYON,BOURG LES VALENCE,026,26500,ANTENNE DU CFA IFRIA RHÔNE-ALP LYCÉE AGRICOLE LE VALENTIN
0301289N,CENTRE DE FORMATION CONTINUE,DU LYCEE,PLACE DE BELGIQUE,ALES,030,30100,CENTRE DE FORMATION CONTINUE DU LYCEE
0251202W,LYCEE GEN.ET TECHNOL.AGRICOLE,DE MAMIROLLE,GRANDE RUE,MAMIROLLE,025,25620,LYCEE GEN.ET TECHNOL.AGRICOLE DE MAMIROLLE
0261387S,CTR DE FORMATION D APPRENTIS,LYCEE AGRICOLE,,ST PAUL TROIS CHATEAUX,026,26130,CTR DE FORMATION D APPRENTIS LYCEE AGRICOLE
0290155L,LYCEE PRIVE,ECOLE NOTRE DAME DE KERBONNE,RUE PAUL BERT,,029,29276,LYCEE PRIVE ECOLE NOTRE DAME DE KERBONNE
0290159R,LYCEE GEN ET TECHNOL PRIVE,ST SEBASTIEN,4 RUE H DE GUEBRIANT,LANDERNEAU CEDEX,029,29208,LYCEE GEN ET TECHNOL PRIVE ST SEBASTIEN
0270042Z,LYCEE GENERAL ET TECHNOLOGIQUE,PORTE DE NORMANDIE,830 boulevard des Poissonniers,VERNEUIL D AVRE ET D ITON,027,27130,LYCEE GENERAL ET TECHNOLOGIQUE PORTE DE NORMANDIE
0270044B,LYCEE GENERAL ET TECHNOLOGIQUE,GEORGES DUMEZIL,ROUTE D'IVRY,VERNON CEDEX,027,27207,LYCEE GENERAL ET TECHNOLOGIQUE GEORGES DUMEZIL
0270051J,LP LYCEE DES METIERS,MODESTE LEROY,32 rue PIERRE BROSSOLETTE,EVREUX CEDEX,027,27016,LP LYCEE DES METIERS MODESTE LEROY
0270052K,LYCEE PROFESSIONNEL,GEORGES DUMEZIL,ROUTE D'IVRY,VERNON CEDEX,027,27207,LYCEE PROFESSIONNEL GEORGES DUMEZIL
0270003G,LYCEE GENERAL ET TECHNOLOGIQUE,AUGUSTIN FRESNEL,14 RUE KLEBER MERCIER,BERNAY CEDEX,027,27301,LYCEE GENERAL ET TECHNOLOGIQUE AUGUSTIN FRESNEL
0270004H,LYCEE PROFESSIONNEL,,COTE DE ROUEN,BERNAY CEDEX,027,27301,LYCEE PROFESSIONNEL 
0290164W,LYCEE GEN.ET TECHNOL.PRIVE,NOTRE DAME DU MUR,19 rue DU POULFANC,MORLAIX CEDEX,029,29678,LYCEE GEN.ET TECHNOL.PRIVE NOTRE DAME DU MUR
0290170C,LYCEE GEN ET TECHNOL PRIVE,LE LIKES - LA SALLE - QUIMPER,20 place DE LA TOURBIE,QUIMPER CEDEX,029,29196,LYCEE GEN ET TECHNOL PRIVE LE LIKES - LA SALLE - QUIMPER
0290171D,LYCEE GEN ET TECHNOL PRIVE,STE THERESE,56 AVENUE DE REMSCHEID,QUIMPER CEDEX,029,29337,LYCEE GEN ET TECHNOL PRIVE STE THERESE
0290174G,LYCEE GENERAL PRIVE,NOTRE DAME DE KERBERTRAND,154 RUE DE PONT AVEN,QUIMPERLE CEDEX,029,29391,LYCEE GENERAL PRIVE NOTRE DAME DE KERBERTRAND
0290176J,LYCEE PRIVE,PRIVE STE URSULE,51 RUE VERDEREL,ST POL DE LEON,029,29250,LYCEE PRIVE PRIVE STE URSULE
0290177K,LYCEE GEN ET TECHNOL PRIVE,ND DU KREISKER,2 rue CADIOU,ST POL DE LEON,029,29250,LYCEE GEN ET TECHNOL PRIVE ND DU KREISKER
0290181P,LYCEE GEN ET TECHNOL PRIVE,JAVOUHEY,4 RUE DU REMPART,BREST CEDEX 2,029,29238,LYCEE GEN ET TECHNOL PRIVE JAVOUHEY
0251112Y,LYCEE PROFESSIONNEL PRIVE,SAINT BENIGNE,1  RUE DU CHANOINE PRENEL,PONTARLIER,025,25300,LYCEE PROFESSIONNEL PRIVE SAINT BENIGNE
0280007F,LYCEE GENERAL,MARCEAU,2  RUE PIERRE MENDES FRANCE,CHARTRES CEDEX,028,28006,LYCEE GENERAL MARCEAU
0271580W,LYCEE GENERAL ET TECHNOLOGIQUE,ANDRE MALRAUX,59 AVENUE FRANCOIS MITTERAND,GAILLON CEDEX,027,27607,LYCEE GENERAL ET TECHNOLOGIQUE ANDRE MALRAUX
0271581X,LYCEE POLYVALENT,CLEMENT ADER,Côte Aristide Briand,BERNAY CEDEX,027,27305,LYCEE POLYVALENT CLEMENT ADER
0271585B,LYCEE POLYVALENT,JEAN MOULIN,1 rue DU MARECHAL FOCH,LES ANDELYS,027,27700,LYCEE POLYVALENT JEAN MOULIN
0280942X,LYCEE PROF AGRICOLE PRIVE,GABRIEL BRIDET,40 ROUTE HUBERT BARAINE,ANET,028,28260,LYCEE PROF AGRICOLE PRIVE GABRIEL BRIDET
0280944Z,LYCEE AGRICOLE PRIVE,DE NERMONT,2  RUE DE NERMONT,CHATEAUDUN CEDEX,028,28202,LYCEE AGRICOLE PRIVE DE NERMONT
0251079M,LYCEE PROFESSIONNEL,TRISTAN BERNARD,13 rue GOYA,BESANCON,025,25000,LYCEE PROFESSIONNEL TRISTAN BERNARD
0290018M,LYCEE GEN ET TECHNOL AGRICOLE,DE BREHOULOU,,FOUESNANT,029,29170,LYCEE GEN ET TECHNOL AGRICOLE DE BREHOULOU
0290022S,LYCEE POLYVALENT,PAUL SERUSIER,AVENUE DE WALDKAPPEL,CARHAIX PLOUGUER CEDEX,029,29837,LYCEE POLYVALENT PAUL SERUSIER
0290023T,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN MOULIN,10  RUE DU LYCEE,CHATEAULIN,029,29150,LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN
0270029K,LPO LYCEE DES METIERS,LES FONTENELLES,CHEMIN LES FONTENELLES,LOUVIERS,027,27400,LPO LYCEE DES METIERS LES FONTENELLES
0270030L,LYCEE PROFESSIONNEL,JEAN BAPTISTE DECRETOT,7 RUE DE LA GARE,LOUVIERS,027,27400,LYCEE PROFESSIONNEL JEAN BAPTISTE DECRETOT
0270039W,LYCEE PROFESSIONNEL,,CHEMIN DE LA QUEVREUSE,PONT ST PIERRE,027,27360,LYCEE PROFESSIONNEL 
0280706R,LYCEE GEN.ET TECHNOL.AGRICOLE,CHARTRES,,SOURS,028,28630,LYCEE GEN.ET TECHNOL.AGRICOLE CHARTRES
0251592V,LYCEE PROFESSIONNEL PRIVE,SAINT JOSEPH,28  AVENUE FONTAINE ARGENT,BESANCON,025,25000,LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH
0290188X,LYCEE PROFESSIONNEL PRIVE,BONNE NOUVELLE,17 RUE BONNE NOUVELLE,BREST CEDEX 2,029,29287,LYCEE PROFESSIONNEL PRIVE BONNE NOUVELLE
0270017X,LYCEE GENERAL ET TECHNOLOGIQUE,MODESTE LEROY,32  RUE PIERRE BROSSOLETTE,EVREUX CEDEX,027,27016,LYCEE GENERAL ET TECHNOLOGIQUE MODESTE LEROY
0270018Y,LP LYCEE DES METIERS,AUGUSTIN HEBERT,20  RUE DUGESCLIN,EVREUX CEDEX,027,27025,LP LYCEE DES METIERS AUGUSTIN HEBERT
0270026G,LYCEE POLYVALENT,LOUISE MICHEL,23  RUE D'ERAGNY,GISORS,027,27140,LYCEE POLYVALENT LOUISE MICHEL
0261066T,ANNEXE LYCEE PROF.AGR.PRIVE,LYCEE AGRICOLE PRIVE,25 LE COURREAU,ST PAUL TROIS CHATEAUX,026,26130,ANNEXE LYCEE PROF.AGR.PRIVE LYCEE AGRICOLE PRIVE
0261067U,LYCEE AGRICOLE PRIVE,LES MANDAILLES,,CHATEAUNEUF DE GALAURE,026,26330,LYCEE AGRICOLE PRIVE LES MANDAILLES
0261068V,LYCEE PROF.AGRICOLE PRIVE,LES RECOLLETS,26 RUE MAGNARD,ROMANS SUR ISERE,026,26100,LYCEE PROF.AGRICOLE PRIVE LES RECOLLETS
0261069W,LYCEE AGRICOLE PRIVÉ,DRÔME PROVENÇALE,17 RUE DU SERRE BLANC,ST PAUL TROIS CHATEAUX,026,26130,LYCEE AGRICOLE PRIVÉ DRÔME PROVENÇALE
0280737Z,CTRE DE PROMOTION SOCIALE,DU LYCEE TECHNIQUE NATIONALISE,AVENUE DE VERDUN,CHARTRES,028,28000,CTRE DE PROMOTION SOCIALE DU LYCEE TECHNIQUE NATIONALISE
0281047L,LYCEE GENERAL ET TECHNOLOGIQUE,FULBERT,62  RUE SAINT CHERON,CHARTRES CEDEX,028,28080,LYCEE GENERAL ET TECHNOLOGIQUE FULBERT
0261100E,LP LYCEE DES METIERS,AMBLARD,43 rue AMBLARD,VALENCE,026,26000,LP LYCEE DES METIERS AMBLARD
0280967Z,LYCEE ENSEIG AGRICOLE PRIVE,EFAGRIR,2 RUE DES FLEURS,MIGNIERES,028,28630,LYCEE ENSEIG AGRICOLE PRIVE EFAGRIR
0271382F,LYCEE AGRICOLE PRIVE,TOURVILLE SUR PONT-AUDEMER,ROUTE DE LISIEUX,PONT AUDEMER CEDEX,027,27504,LYCEE AGRICOLE PRIVE TOURVILLE SUR PONT-AUDEMER
0251025D,LYCEE POLYVALENT PRIVE,SAINT-JOSEPH,28 AVENUE FONTAINE ARGENT,BESANCON CEDEX,025,25041,LYCEE POLYVALENT PRIVE SAINT-JOSEPH
0251028G,LYCEE GEN.ET TECHNOL.PRIVE,SAINT JEAN,1 chemin DE L'ESPERANCE,BESANCON CEDEX,025,25003,LYCEE GEN.ET TECHNOL.PRIVE SAINT JEAN
0261315N,LYCEE PROFESSIONNEL AGRICOLE,LYCEE DE VAL DE DROME,ROUTE DE VALENCE N,MONTELEGER,026,26760,LYCEE PROFESSIONNEL AGRICOLE LYCEE DE VAL DE DROME
0271634E,LPO LYCEE DES METIERS,JEAN-BAPTISTE DECRETOT,7  RUE DE LA GARE,LOUVIERS,027,27400,LPO LYCEE DES METIERS JEAN-BAPTISTE DECRETOT
0292041L,LYCEE POLYVALENT PRIVE,PRIVE LE ST ESPRIT,24 RUE D ARVOR,LANDIVISIAU CEDEX,029,29403,LYCEE POLYVALENT PRIVE PRIVE LE ST ESPRIT
0290160S,LYCEE GENERAL PRIVE,ST FRANCOIS-NOTRE DAME,1 rue DES RECOLLETS,LESNEVEN,029,29260,LYCEE GENERAL PRIVE ST FRANCOIS-NOTRE DAME
0290161T,LYCEE GENERAL PRIVE,NOTRE DAME DE LOURDES,7 RUE JEANNE D'ARC,LESNEVEN,029,29260,LYCEE GENERAL PRIVE NOTRE DAME DE LOURDES
0281053T,SECTION ENSEIGNT PROFESSIONNEL,LYCEE EDOUARD BRANLY,29  AVENUE KENNEDY,DREUX,028,28100,SECTION ENSEIGNT PROFESSIONNEL LYCEE EDOUARD BRANLY
0280009H,LP LYCEE DES METIERS,DU BATIMENT PH DE L ORME,7  RUE JULES FERRY,LUCE CEDEX,028,28114,LP LYCEE DES METIERS DU BATIMENT PH DE L ORME
0280015P,LYCEE GENERAL ET TECHNOLOGIQUE,EMILE ZOLA,26 rue DE CIVRY,CHATEAUDUN,028,28200,LYCEE GENERAL ET TECHNOLOGIQUE EMILE ZOLA
0280019U,LYCEE GENERAL ET TECHNOLOGIQUE,ROTROU,5  RUE DES MARCHEBEAUX,DREUX CEDEX,028,28104,LYCEE GENERAL ET TECHNOLOGIQUE ROTROU
0280021W,LPO LYCEE DES METIERS,EDOUARD BRANLY,29  AVENUE KENNEDY,DREUX,028,28100,LPO LYCEE DES METIERS EDOUARD BRANLY
0280022X,LP LYCEE DES METIERS,MAURICE VIOLLETTE,Rue PABLO NERUDA,DREUX CEDEX,028,28101,LP LYCEE DES METIERS MAURICE VIOLLETTE
0261148G,LP LYCEE DES METIERS,HOTELIER DE L'HERMITAGE,Rue JEAN MONNET,TAIN L HERMITAGE CEDEX,026,26602,LP LYCEE DES METIERS HOTELIER DE L'HERMITAGE
0290012F,LYCEE POLYVALENT,VAUBAN,Rue DE KERICHEN,BREST CEDEX 2,029,29225,LYCEE POLYVALENT VAUBAN
0290013G,LYCEE GENERAL ET TECHNOLOGIQUE,JULES LESVEN,34  RUE JULES LESVEN,BREST CEDEX 2,029,29225,LYCEE GENERAL ET TECHNOLOGIQUE JULES LESVEN
0260977W,COURS DE PROMOTION PROF.,LYCEE D ENS.PROF.,AVENUE HENRI BECQUEREL,PIERRELATTE,026,26700,COURS DE PROMOTION PROF. LYCEE D ENS.PROF.
0281005R,GPT ETS POUR LA FORM.CONTINUE,GRETA LYCEE REMI BELLEAU,33 RUE BRETONNERIE,NOGENT LE ROTROU,028,28400,GPT ETS POUR LA FORM.CONTINUE GRETA LYCEE REMI BELLEAU
0271239A,COURS DE PROMOTION SOCIALE,LYCEE D ENS.PROF.,RUE DES DEPORTES,PONT AUDEMER,027,27500,COURS DE PROMOTION SOCIALE LYCEE D ENS.PROF.
0260116K,LYCEE PROFESSIONNEL,MONTESQUIEU,2 rue DE MONTESQUIEU,VALENCE,026,26000,LYCEE PROFESSIONNEL MONTESQUIEU
0301775S,ETABLISSEMENT EXPERIMENTAL,LYCEE BAGNOLS SUR CEZE,,BAGNOLS SUR CEZE CEDEX,030,30205,ETABLISSEMENT EXPERIMENTAL LYCEE BAGNOLS SUR CEZE
0301778V,LPO LYCEE DES METIERS,JACQUES PREVERT,1  PLACE LUCIE AUBRAC,ST CHRISTOL LES ALES,030,30380,LPO LYCEE DES METIERS JACQUES PREVERT
0290192B,LYCEE PROFESSIONNEL PRIVE,ST TREMEUR,1 RUE CAZUGUEL,CARHAIX PLOUGUER CEDEX,029,29833,LYCEE PROFESSIONNEL PRIVE ST TREMEUR
0290194D,LYCEE GENERAL PRIVE,SAINT BLAISE,16 rue LAMENNAIS,DOUARNENEZ CEDEX,029,29177,LYCEE GENERAL PRIVE SAINT BLAISE
0290207T,LYCEE PROFESSIONNEL PRIVE,ND DU KREISKER,2 rue CADIOU,ST POL DE LEON,029,29250,LYCEE PROFESSIONNEL PRIVE ND DU KREISKER
0290208U,LYCEE D ENS.PROFESSIONN.PRIVE,PRIVE STE URSULE,51 RUE VERDEREL,ST POL DE LEON,029,29250,LYCEE D ENS.PROFESSIONN.PRIVE PRIVE STE URSULE
0291107W,LYCEE PROFESSIONNEL MARITIME,DU GUILVINEC,AVENUE JOS QUINIOU,TREFFIAGAT,029,29730,LYCEE PROFESSIONNEL MARITIME DU GUILVINEC
0280995E,LYCEE TECHNOLOGIQUE PRIVE,NOTRE DAME,CHATEAU DES VAUX,ST MAURICE ST GERMAIN,028,28240,LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME
0301453S,CTR FORMATION APPRENTIS AGRIC.,ANNEXE LYCEE AGRICOLE NIMES,RUE CARNOT,VAUVERT,030,30600,CTR FORMATION APPRENTIS AGRIC. ANNEXE LYCEE AGRICOLE NIMES
0271045P,LYCEE GEN.ET TECHNOL.PRIVE,SAINT FRANCOIS DE SALES,8 rue PORTEVIN,EVREUX CEDEX,027,27025,LYCEE GEN.ET TECHNOL.PRIVE SAINT FRANCOIS DE SALES
0280864M,LP LYCEE DES METIERS,ELSA TRIOLET,2  RUE DES ECOLES,LUCE,028,28110,LP LYCEE DES METIERS ELSA TRIOLET
0271465W,GPT ETS POUR LA FORM CONTINUE,DE VERNON LYCEE POLYVALENT,ROUTE D IVRY,VERNON,027,27200,GPT ETS POUR LA FORM CONTINUE DE VERNON LYCEE POLYVALENT
0292137R,LYCEE GENERAL PRIVE,DIWAN,,CARHAIX PLOUGUER,029,29270,LYCEE GENERAL PRIVE DIWAN
0292139T,LYCEE PROFESSIONNEL PRIVE,JAVOUHEY,4 rue DU REMPART,BREST CEDEX 2,029,29238,LYCEE PROFESSIONNEL PRIVE JAVOUHEY
0290102D,LYCEE PROFESSIONNEL,JULES LESVEN,34 rue JULES LESVEN,BREST CEDEX 2,029,29225,LYCEE PROFESSIONNEL JULES LESVEN
0290104F,SECTION ENSEIGNT PROFESSIONNEL,LYCEE DES METIERS DE L'ELORN,10 PLACE ST HOUARDON,LANDERNEAU CEDEX,029,29207,SECTION ENSEIGNT PROFESSIONNEL LYCEE DES METIERS DE L'ELORN
0290108K,LYCEE POLYVALENT,DUPUY DE LOME,34 rue DUPUY DE LOME,BREST,029,29200,LYCEE POLYVALENT DUPUY DE LOME
0260840X,COURS DE PROMOTION PROFESSION,DU LYCEE TECHNIQUE NATIONALISE,BOULEVARD REMI ROURE,ROMANS SUR ISERE,026,26100,COURS DE PROMOTION PROFESSION DU LYCEE TECHNIQUE NATIONALISE
0301270T,LP LYCEE DES METIERS,JULES RAIMU,12  RUE JULES RAIMU,NIMES CEDEX 2,030,30908,LP LYCEE DES METIERS JULES RAIMU
0271403D,COURS DE PROMOTION SOCIALE,LYCEE POLIVALENT A.BRIAND,2 RUE PIERRE SENARD,EVREUX CEDEX,027,27031,COURS DE PROMOTION SOCIALE LYCEE POLIVALENT A.BRIAND
0271431J,LYCEE GENERAL ET TECHNOLOGIQUE,JACQUES PREVERT,30 route DE SAINT-PAUL,PONT AUDEMER,027,27500,LYCEE GENERAL ET TECHNOLOGIQUE JACQUES PREVERT
0281077U,LPO LYCEE DES METIERS,SILVIA MONFORT,6  RUE DE L ORME DE SOURS,LUISANT,028,28600,LPO LYCEE DES METIERS SILVIA MONFORT
0281090H,SECTION ENSEIGNT PROFESSIONNEL,LYCEE SILVIA MONFORT,6 RUE DE L ORME DE SOURS,LUISANT,028,28600,SECTION ENSEIGNT PROFESSIONNEL LYCEE SILVIA MONFORT
0312354R,LYCEE GEN.ET TECHNOL.AGRICOLE,ONDES,RUE CASTELNAU,ONDES,031,31330,LYCEE GEN.ET TECHNOL.AGRICOLE ONDES
0312355S,LYCEE GENERAL ET TECHNO. PRIVE,ORT MAURICE GRYNFOGEL,14 RUE ETIENNE COLLONGUES,COLOMIERS,031,31770,LYCEE GENERAL ET TECHNO. PRIVE ORT MAURICE GRYNFOGEL
0291751W,LYCEE AGRICOLE PRIVE,ST JOSEPH - QUIMPER,12  ALLÉE DE KERUSTUM,QUIMPER CEDEX,029,29101,LYCEE AGRICOLE PRIVE ST JOSEPH - QUIMPER
0281099T,ANTENNE DE CFA AFTEC,LYCEE EFAGRIR,2 AVENUE BETHOUARD,CHARTRES,028,28000,ANTENNE DE CFA AFTEC LYCEE EFAGRIR
0281100U,ANTENNE DE CFA AFTEC,LYCEE PRIVE DE NERMONT,2 RUE DE NERMONT,CHATEAUDUN CEDEX,028,28202,ANTENNE DE CFA AFTEC LYCEE PRIVE DE NERMONT
0281101V,LYCEE AGRICOLE PRIVE,NOTRE DAME (ORPH.APP.AUTEUIL),CHATEAU DE VAUX,LA LOUPE,028,28240,LYCEE AGRICOLE PRIVE NOTRE DAME (ORPH.APP.AUTEUIL)
0290092T,LP LYCEE DES METIERS,DE PONT-DE-BUIS,RUE DE LOGODEC,PONT DE BUIS LES QUIMERCH,029,29590,LP LYCEE DES METIERS DE PONT-DE-BUIS
0271282X,LYCEE GEN.ET TECHNOL.PRIVE,JEANNE D'ARC - SAINT ANSELME,11 rue LEPREVOST DE BEAUMONT,BERNAY,027,27300,LYCEE GEN.ET TECHNOL.PRIVE JEANNE D'ARC - SAINT ANSELME
0271606Z,LP LYCEE DES METIERS,AUGUSTIN BOISMARD,RUE EMILE NEUVILLE,BRIONNE,027,27800,LP LYCEE DES METIERS AUGUSTIN BOISMARD
0261430N,CENTRE DE FORMATION CONTINUE,LYCEE POLYVALENT PRIVE,3 PLACE MARX DORMOY,MONTELIMAR,026,26200,CENTRE DE FORMATION CONTINUE LYCEE POLYVALENT PRIVE
0251163D,CTRE DE PROMOTION SOCIALE,LYCEE TECHNIQUE,1 RUE LABBE,BESANCON,025,25000,CTRE DE PROMOTION SOCIALE LYCEE TECHNIQUE
0291633T,LP LYCEE DES METIERS,RENE LAENNEC,61 RUE DU LYCEE,PONT L ABBE,029,29120,LP LYCEE DES METIERS RENE LAENNEC
0292154J,EMOP LYCEE SERUSIER,REVETEMENT FINITION AGENC.ELEC,AVENUE DE WALDKAPPEL,CARHAIX PLOUGUER,029,29270,EMOP LYCEE SERUSIER REVETEMENT FINITION AGENC.ELEC
0292157M,LYCEE PROFESSIONNEL PRIVE,STE ELISABETH,9 RUE LAMENNAIS,DOUARNENEZ CEDEX,029,29177,LYCEE PROFESSIONNEL PRIVE STE ELISABETH
0251711Z,LYCEE POLYVALENT,CLAUDE NICOLAS LEDOUX,14  RUE ALAIN SAVARY,BESANCON CEDEX,025,25006,LYCEE POLYVALENT CLAUDE NICOLAS LEDOUX
0311178M,LYCEE TECHNOLOGIQUE PRIVE,DIETETIQUE LIMAYRAC,50 RUE DE LIMAYRAC,TOULOUSE CEDEX 5,031,31079,LYCEE TECHNOLOGIQUE PRIVE DIETETIQUE LIMAYRAC
0311181R,LYCEE TECHNOLOGIQUE PRIVE,LES POTIERS,4 RUE DU SACHET,TOULOUSE,031,31400,LYCEE TECHNOLOGIQUE PRIVE LES POTIERS
0311183T,LYCEE TECHNOLOGIQUE PRIVE,SAINT-JOSEPH,85 RUE DE LIMAYRAC,TOULOUSE CEDEX 5,031,31079,LYCEE TECHNOLOGIQUE PRIVE SAINT-JOSEPH
0311186W,LYCEE TECHNOLOGIQUE PRIVE,BILLIERES,27  RUE INGRES,TOULOUSE,031,31000,LYCEE TECHNOLOGIQUE PRIVE BILLIERES
0311190A,LYCEE PROF PRIVE DES METIERS,SKHOLE D'ART TOULOUSE,55 avenue LOUIS BREGUET,TOULOUSE,031,31400,LYCEE PROF PRIVE DES METIERS SKHOLE D'ART TOULOUSE
0290069T,LYCEE GENERAL,AUGUSTE BRIZEUX,6 RUE BOURG LES BOURGS,QUIMPER CEDEX,029,29191,LYCEE GENERAL AUGUSTE BRIZEUX
0311842J,LYCEE PROF.AGRICOLE PRIVE,RURAL L'OUSTAL,15 PLACE D'ORLEANS,MONTASTRUC LA CONSEILLERE,031,31380,LYCEE PROF.AGRICOLE PRIVE RURAL L'OUSTAL
0311843K,LYCEE PROF.AGRICOLE PR. RURAL,LE SAVES,7 PLACE DES MARCHANDS,RIEUMES,031,31370,LYCEE PROF.AGRICOLE PR. RURAL LE SAVES
